02969925-a	http://wnpt.brlcloud.com/wn/synset?id=02969925-a	Byzantine	adj.pert	GeopoliticalArea@	08800676-n	http://wnpt.brlcloud.com/wn/synset?id=08800676-n	Byzantine_Empire	noun.location	LandArea@
02978495-a	http://wnpt.brlcloud.com/wn/synset?id=02978495-a	Calcuttan	adj.pert	City@	08903636-n	http://wnpt.brlcloud.com/wn/synset?id=08903636-n	Calcutta	noun.location	CalcuttaIndia=
03052403-a	http://wnpt.brlcloud.com/wn/synset?id=03052403-a	Californian	adj.pert	StateOrProvince@	09060768-n	http://wnpt.brlcloud.com/wn/synset?id=09060768-n	California	noun.location	California=
02968828-a	http://wnpt.brlcloud.com/wn/synset?id=02968828-a	Cambodian	adj.pert	Nation@	08716738-n	http://wnpt.brlcloud.com/wn/synset?id=08716738-n	Cambodia	noun.location	Cambodia=
03130073-a	http://wnpt.brlcloud.com/wn/synset?id=03130073-a	Cambrian	adj.pert	GeopoliticalArea@	08894456-n	http://wnpt.brlcloud.com/wn/synset?id=08894456-n	Cambria	noun.location	Nation@
03052588-a	http://wnpt.brlcloud.com/wn/synset?id=03052588-a	Cameroonian	adj.pert	Nation@	08717209-n	http://wnpt.brlcloud.com/wn/synset?id=08717209-n	Cameroon	noun.location	Cameroon=
02982473-a	http://wnpt.brlcloud.com/wn/synset?id=02982473-a	Canadian	adj.pert	Nation@	08820121-n	http://wnpt.brlcloud.com/wn/synset?id=08820121-n	Canada	noun.location	Canada=
03052963-a	http://wnpt.brlcloud.com/wn/synset?id=03052963-a	cantonal	adj.pert	StateOrProvince+	08725454-n	http://wnpt.brlcloud.com/wn/synset?id=08725454-n	Canton	noun.location	City@
02678371-a	http://wnpt.brlcloud.com/wn/synset?id=02678371-a	Cappadocian	adj.pert	nil	08701161-n	http://wnpt.brlcloud.com/wn/synset?id=08701161-n	Cappadocia	noun.location	GeographicArea@
03104740-a	http://wnpt.brlcloud.com/wn/synset?id=03104740-a	Carthaginian	adj.pert	City@	08919949-n	http://wnpt.brlcloud.com/wn/synset?id=08919949-n	Carthage	noun.location	City@
03054020-a	http://wnpt.brlcloud.com/wn/synset?id=03054020-a	Catalan	adj.pert	GeopoliticalArea@	09028062-n	http://wnpt.brlcloud.com/wn/synset?id=09028062-n	Catalonia	noun.location	LandArea@
02843959-a	http://wnpt.brlcloud.com/wn/synset?id=02843959-a	Caucasian	adj.pert	GeographicArea@	08519624-n	http://wnpt.brlcloud.com/wn/synset?id=08519624-n	Caucasus	noun.location	LandArea@
02843959-a	http://wnpt.brlcloud.com/wn/synset?id=02843959-a	Caucasic	adj.pert	GeographicArea@	08519624-n	http://wnpt.brlcloud.com/wn/synset?id=08519624-n	Caucasus	noun.location	LandArea@
03004196-a	http://wnpt.brlcloud.com/wn/synset?id=03004196-a	Central_American	adj.pert	LandArea@	08735705-n	http://wnpt.brlcloud.com/wn/synset?id=08735705-n	Central_America	noun.location	LandArea@
03118413-a	http://wnpt.brlcloud.com/wn/synset?id=03118413-a	Ceylonese	adj.pert	Nation@	08718962-n	http://wnpt.brlcloud.com/wn/synset?id=08718962-n	Ceylon	noun.location	Island@
03054743-a	http://wnpt.brlcloud.com/wn/synset?id=03054743-a	Chadian	adj.pert	Nation@	08720037-n	http://wnpt.brlcloud.com/wn/synset?id=08720037-n	Chad	noun.location	Chad=
02690613-a	http://wnpt.brlcloud.com/wn/synset?id=02690613-a	Chaldaean	adj.pert	nil	08917881-n	http://wnpt.brlcloud.com/wn/synset?id=08917881-n	Chaldea	noun.location	GeographicArea@
02690613-a	http://wnpt.brlcloud.com/wn/synset?id=02690613-a	Chaldean	adj.pert	nil	08917881-n	http://wnpt.brlcloud.com/wn/synset?id=08917881-n	Chaldea	noun.location	GeographicArea@
02690613-a	http://wnpt.brlcloud.com/wn/synset?id=02690613-a	Chaldee	adj.pert	nil	08917881-n	http://wnpt.brlcloud.com/wn/synset?id=08917881-n	Chaldea	noun.location	GeographicArea@
02691839-a	http://wnpt.brlcloud.com/wn/synset?id=02691839-a	Chechen	adj.pert	nil	09004625-n	http://wnpt.brlcloud.com/wn/synset?id=09004625-n	Chechnya	noun.location	GeographicArea@
02693802-a	http://wnpt.brlcloud.com/wn/synset?id=02693802-a	Chian	adj.pert	Island@	08782976-n	http://wnpt.brlcloud.com/wn/synset?id=08782976-n	Chios	noun.location	Island@
